Theta;Alfa0;Alfa1;Alfa2;Alfa3;Alfa4;Alfa5;Alfa6;Alfa8;Alfa9;Alfa10;Alfa11;Alfa12;Alfa14;Alfa16;Alfa18;Alfa20
75;0.076;0.097;0.072;0.082;0.123;0.109;0.129;0.109;0.082;0.061;0.084;0.222;0.228;0.126;0.149;0.134
76;0.184;0.214;0.176;0.241;0.258;0.286;0.318;0.237;0.225;0.263;0.237;0.398;0.389;0.252;0.368;0.334
77;0.368;0.437;0.368;0.439;0.495;0.521;0.614;0.507;0.391;0.567;0.455;0.633;0.598;0.461;0.587;0.565
78;0.585;0.678;0.626;0.697;0.725;0.831;0.867;0.858;0.698;0.807;0.78;0.879;0.843;0.749;0.845;0.813
79;0.846;0.913;0.888;0.964;1.035;1.135;1.172;1.153;0.982;1.168;1.053;1.091;1.089;1.024;1.121;1.077
80;1.114;1.211;1.114;1.252;1.334;1.453;1.397;1.397;1.238;1.396;1.261;1.265;1.273;1.281;1.418;1.325
81;1.368;1.432;1.316;1.468;1.563;1.672;1.646;1.623;1.449;1.595;1.523;1.503;1.485;1.442;1.576;1.547
82;1.576;1.651;1.515;1.672;1.755;1.819;1.842;1.833;1.655;1.785;1.686;1.656;1.641;1.599;1.793;1.746
83;1.777;1.828;1.743;1.834;1.883;2.05;2.02;2.02;1.858;1.982;1.833;1.831;1.821;1.773;1.962;1.914
84;1.957;1.99;1.948;2.02;2.08;2.29;2.23;2.27;2.03;2.17;1.996;1.968;1.971;1.984;2.13;2.07
85;2.12;2.19;2.1;2.23;2.33;2.42;2.42;2.43;2.2;2.34;2.18;2.15;2.12;2.16;2.29;2.27
86;2.26;2.39;2.28;2.38;2.46;2.57;2.56;2.57;2.34;2.45;2.35;2.29;2.29;2.37;2.44;2.43
87;2.39;2.56;2.41;2.56;2.62;2.72;2.69;2.69;2.47;2.6;2.44;2.41;2.42;2.46;2.56;2.54
88;2.51;2.65;2.53;2.66;2.71;2.8;2.78;2.78;2.53;2.67;2.51;2.5;2.49;2.52;2.62;2.61
89;2.59;2.7;2.59;2.72;2.76;2.82;2.83;2.78;2.57;2.7;2.56;2.54;2.52;2.55;2.63;2.63
90;2.62;2.68;2.61;2.71;2.72;2.78;2.8;2.73;2.59;2.65;2.59;2.55;2.49;2.54;2.6;2.6
